GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
qa_java,ru.yandex,Cat,0,12,0,0,0,5,0,3,0,3
qa_java,ru.yandex,Feline,0,15,0,0,0,5,0,5,0,5
qa_java,ru.yandex,Lion,10,27,0,4,3,8,3,4,3,2
qa_java,ru.yandex,Animal,6,21,1,3,2,5,2,3,1,2
